sysbench 1.0.20 (using bundled LuaJIT 2.1.0-beta2)

Running the test with following options:
Number of threads: 56
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
DB SCHEMA public
Threads started!

1,56,817.46,23382.02,10583.10,10996.32,1802.61,179.94,5.99,0.00
2,56,928.53,26097.02,11938.87,12301.08,1857.07,211.60,5.00,0.00
3,56,971.71,26841.09,12300.38,12597.29,1943.43,207.82,5.00,0.00
4,56,963.05,27829.48,12692.68,13210.70,1926.10,227.40,4.00,0.00
5,56,1153.05,33263.56,15178.71,15778.74,2306.11,173.58,3.00,0.00
6,56,1034.16,29763.57,13622.09,14073.16,2068.32,200.47,4.00,0.00
7,56,1038.00,29385.89,13410.95,13898.95,2075.99,204.11,5.00,0.00
8,56,1124.03,31764.73,14502.33,15014.34,2248.05,231.53,7.00,0.00
9,56,1105.80,31653.30,14465.39,14976.30,2211.60,253.35,7.00,0.00
10,56,1279.19,35812.24,16310.39,16943.48,2558.37,176.73,6.00,0.00
11,56,1228.00,35231.92,16048.96,16726.96,2455.99,196.89,3.00,0.00
12,56,1269.91,36366.37,16567.80,17258.75,2539.82,161.51,6.00,0.00
13,56,1336.83,36903.30,16845.86,17383.79,2673.66,161.51,8.00,0.00
14,56,1262.08,35945.41,16406.10,17015.14,2524.17,179.94,3.00,0.00
15,56,1426.75,40068.01,18229.82,18984.69,2853.50,144.97,7.00,0.00
16,56,1377.41,38108.44,17368.21,17985.40,2754.83,173.58,7.00,0.00
17,56,1433.71,41212.61,18835.17,19510.03,2867.42,121.08,4.00,0.00
18,56,1291.01,36161.25,16535.11,17044.12,2582.02,200.47,6.00,0.00
19,56,1400.24,37872.61,17250.01,17822.11,2800.49,164.45,7.00,0.00
20,56,1397.79,40278.90,18343.22,19140.10,2795.58,150.29,4.00,0.00
21,56,1603.13,44996.60,20523.64,21266.70,3206.26,139.85,11.00,0.00
22,56,1517.00,43575.09,19823.04,20718.04,3034.01,97.55,4.00,0.00
23,56,1679.66,49203.16,22408.52,23435.31,3359.33,82.96,4.00,0.00
24,56,1620.26,46001.40,21036.38,21724.49,3240.52,87.56,7.00,0.00
25,56,1597.74,46487.45,21242.55,22049.42,3195.48,94.10,10.00,0.00
